,Tahun,Jenis_Ikan,Produksi_Ton,WPP,Alat_Tangkap
1,2021,Cakalang,156000,WPP 2 - Laut Jawa,Pancing Tonda
3,2021,Layang,142000,WPP 4 - Laut Banda,Jaring
2,2021,Tongkol,198000,WPP 3 - Selat Makassar,Pukat Cincin
0,2021,Tuna,385000,WPP 1 - Samudera Hindia,Pukat Harimau
4,2021,Udang,287000,WPP 5 - Teluk Tomini,Perangkap
6,2022,Cakalang,168000,WPP 2 - Laut Jawa,Pancing Tonda
8,2022,Layang,156000,WPP 4 - Laut Banda,Jaring
7,2022,Tongkol,215000,WPP 3 - Selat Makassar,Pukat Cincin
5,2022,Tuna,402000,WPP 1 - Samudera Hindia,Pukat Harimau
9,2022,Udang,305000,WPP 5 - Teluk Tomini,Perangkap
11,2023,Cakalang,182000,WPP 2 - Laut Jawa,Pancing Tonda
13,2023,Layang,172000,WPP 4 - Laut Banda,Jaring
12,2023,Tongkol,235000,WPP 3 - Selat Makassar,Pukat Cincin
10,2023,Tuna,425000,WPP 1 - Samudera Hindia,Pukat Harimau
14,2023,Udang,328000,WPP 5 - Teluk Tomini,Perangkap
16,2024,Cakalang,196000,WPP 2 - Laut Jawa,Pancing Tonda
18,2024,Layang,188000,WPP 4 - Laut Banda,Jaring
17,2024,Tongkol,252000,WPP 3 - Selat Makassar,Pukat Cincin
15,2024,Tuna,445000,WPP 1 - Samudera Hindia,Pukat Harimau
19,2024,Udang,345000,WPP 5 - Teluk Tomini,Perangkap
21,2025,Cakalang,210000,WPP 2 - Laut Jawa,Pancing Tonda
23,2025,Layang,205000,WPP 4 - Laut Banda,Jaring
22,2025,Tongkol,268000,WPP 3 - Selat Makassar,Pukat Cincin
20,2025,Tuna,468000,WPP 1 - Samudera Hindia,Pukat Harimau
24,2025,Udang,365000,WPP 5 - Teluk Tomini,Perangkap
