,Tahun,Bulan,Jenis_Ikan,Harga_Perkg_Tokopedia,Harga_Perkg_Shopee,Harga_Perkg_Lazada,E_Commerce
0,2021,1,Tuna,85000,82000,84000,Tokopedia
1,2021,2,Tuna,87000,84000,86000,Shopee
2,2021,3,Tuna,89000,86000,88000,Lazada
3,2021,4,Cakalang,45000,43000,44000,Tokopedia
4,2021,5,Cakalang,47000,45000,46000,Shopee
5,2021,6,Cakalang,48000,46000,47000,Lazada
6,2021,7,Tongkol,52000,50000,51000,Tokopedia
7,2021,8,Tongkol,54000,52000,53000,Shopee
8,2021,9,Tongkol,55000,53000,54000,Lazada
9,2021,10,Layang,38000,36000,37000,Tokopedia
10,2021,11,Layang,40000,38000,39000,Shopee
11,2021,12,Layang,42000,40000,41000,Lazada
12,2022,1,Tuna,92000,89000,91000,Tokopedia
13,2022,2,Tuna,95000,92000,94000,Shopee
14,2022,3,Tuna,98000,95000,97000,Lazada
15,2022,4,Cakalang,51000,48000,50000,Tokopedia
16,2022,5,Cakalang,54000,51000,53000,Shopee
17,2022,6,Cakalang,56000,53000,55000,Lazada
18,2022,7,Tongkol,58000,55000,57000,Tokopedia
19,2022,8,Tongkol,61000,58000,60000,Shopee
20,2022,9,Tongkol,63000,60000,62000,Lazada
21,2022,10,Layang,44000,41000,43000,Tokopedia
22,2022,11,Layang,47000,44000,46000,Shopee
23,2022,12,Layang,49000,46000,48000,Lazada
24,2023,1,Tuna,102000,98000,101000,Tokopedia
25,2023,2,Tuna,105000,101000,104000,Shopee
26,2023,3,Tuna,108000,104000,107000,Lazada
27,2023,4,Cakalang,59000,55000,58000,Tokopedia
28,2023,5,Cakalang,62000,58000,61000,Shopee
29,2023,6,Cakalang,65000,61000,64000,Lazada
30,2023,7,Tongkol,67000,63000,66000,Tokopedia
31,2023,8,Tongkol,70000,66000,69000,Shopee
32,2023,9,Tongkol,73000,69000,72000,Lazada
33,2023,10,Layang,51000,47000,50000,Tokopedia
34,2023,11,Layang,54000,50000,53000,Shopee
35,2023,12,Layang,57000,53000,56000,Lazada
36,2024,1,Tuna,112000,108000,111000,Tokopedia
37,2024,2,Tuna,115000,111000,114000,Shopee
38,2024,3,Tuna,118000,114000,117000,Lazada
39,2024,4,Cakalang,68000,64000,67000,Tokopedia
40,2024,5,Cakalang,71000,67000,70000,Shopee
41,2024,6,Cakalang,74000,70000,73000,Lazada
42,2024,7,Tongkol,76000,72000,75000,Tokopedia
43,2024,8,Tongkol,79000,75000,78000,Shopee
44,2024,9,Tongkol,82000,78000,81000,Lazada
45,2024,10,Layang,59000,55000,58000,Tokopedia
46,2024,11,Layang,62000,58000,61000,Shopee
47,2024,12,Layang,65000,61000,64000,Lazada
48,2025,1,Tuna,125000,121000,124000,Tokopedia
49,2025,2,Tuna,128000,124000,127000,Shopee
50,2025,3,Tuna,131000,127000,130000,Lazada
51,2025,4,Cakalang,77000,73000,76000,Tokopedia
52,2025,5,Cakalang,80000,76000,79000,Shopee
53,2025,6,Cakalang,83000,79000,82000,Lazada
54,2025,7,Tongkol,85000,81000,84000,Tokopedia
55,2025,8,Tongkol,88000,84000,87000,Shopee
56,2025,9,Tongkol,91000,87000,90000,Lazada
57,2025,10,Layang,67000,63000,66000,Tokopedia
58,2025,11,Layang,70000,66000,69000,Shopee
59,2025,12,Layang,73000,69000,72000,Lazada
